year,mon,day,dow,hour,chr,cday,date,datetime
2019,1,10,1,7,224,10,20190110,2019011007
2019,1,10,1,8,225,10,20190110,2019011008
2019,1,10,1,9,226,10,20190110,2019011009
2019,1,10,1,10,227,10,20190110,2019011010
2019,1,10,1,11,228,10,20190110,2019011011
2019,1,10,1,12,229,10,20190110,2019011012
2019,1,10,1,13,230,10,20190110,2019011013
2019,1,10,1,14,231,10,20190110,2019011014
2019,1,10,1,15,232,10,20190110,2019011015
2019,1,10,1,16,233,10,20190110,2019011016
2019,1,10,1,17,234,10,20190110,2019011017
2019,1,10,1,18,235,10,20190110,2019011018
2019,1,10,1,19,236,10,20190110,2019011019
2019,1,10,1,20,237,10,20190110,2019011020
2019,1,10,1,21,238,10,20190110,2019011021
2019,1,10,1,22,239,10,20190110,2019011022
2019,1,10,1,23,240,10,20190110,2019011023
2019,1,11,2,0,241,11,20190111,2019011100
2019,1,11,2,1,242,11,20190111,2019011101
2019,1,11,2,2,243,11,20190111,2019011102
2019,1,11,2,3,244,11,20190111,2019011103
2019,1,11,2,4,245,11,20190111,2019011104
2019,1,11,2,5,246,11,20190111,2019011105
2019,1,11,2,6,247,11,20190111,2019011106
2019,1,11,2,7,248,11,20190111,2019011107
2019,1,11,2,8,249,11,20190111,2019011108
2019,1,11,2,9,250,11,20190111,2019011109
2019,1,11,2,10,251,11,20190111,2019011110
2019,1,11,2,11,252,11,20190111,2019011111
2019,1,11,2,12,253,11,20190111,2019011112
2019,1,11,2,13,254,11,20190111,2019011113
2019,1,11,2,14,255,11,20190111,2019011114
2019,1,11,2,15,256,11,20190111,2019011115
2019,1,11,2,16,257,11,20190111,2019011116
2019,1,11,2,17,258,11,20190111,2019011117
2019,1,11,2,18,259,11,20190111,2019011118
2019,1,11,2,19,260,11,20190111,2019011119
2019,1,11,2,20,261,11,20190111,2019011120
2019,1,11,2,21,262,11,20190111,2019011121
2019,1,11,2,22,263,11,20190111,2019011122
2019,1,11,2,23,264,11,20190111,2019011123
2019,1,12,3,0,265,12,20190112,2019011200
2019,1,12,3,1,266,12,20190112,2019011201
2019,1,12,3,2,267,12,20190112,2019011202
2019,1,12,3,3,268,12,20190112,2019011203
2019,1,12,3,4,269,12,20190112,2019011204
2019,1,12,3,5,270,12,20190112,2019011205
2019,1,12,3,6,271,12,20190112,2019011206
2019,1,12,3,7,272,12,20190112,2019011207
2019,1,12,3,8,273,12,20190112,2019011208
2019,1,12,3,9,274,12,20190112,2019011209
2019,1,12,3,10,275,12,20190112,2019011210
2019,1,12,3,11,276,12,20190112,2019011211
2019,1,12,3,12,277,12,20190112,2019011212
2019,1,12,3,13,278,12,20190112,2019011213
2019,1,12,3,14,279,12,20190112,2019011214
2019,1,12,3,15,280,12,20190112,2019011215
2019,1,12,3,16,281,12,20190112,2019011216
2019,1,12,3,17,282,12,20190112,2019011217
2019,1,12,3,18,283,12,20190112,2019011218
2019,1,12,3,19,284,12,20190112,2019011219
2019,1,12,3,20,285,12,20190112,2019011220
2019,1,12,3,21,286,12,20190112,2019011221
2019,1,12,3,22,287,12,20190112,2019011222
2019,1,12,3,23,288,12,20190112,2019011223
2019,1,13,4,0,289,13,20190113,2019011300
2019,1,13,4,1,290,13,20190113,2019011301
2019,1,13,4,2,291,13,20190113,2019011302
2019,1,13,4,3,292,13,20190113,2019011303
2019,1,13,4,4,293,13,20190113,2019011304
2019,1,13,4,5,294,13,20190113,2019011305
2019,1,13,4,6,295,13,20190113,2019011306
2019,1,13,4,7,296,13,20190113,2019011307
2019,1,13,4,8,297,13,20190113,2019011308
2019,1,13,4,9,298,13,20190113,2019011309
2019,1,13,4,10,299,13,20190113,2019011310
2019,1,13,4,11,300,13,20190113,2019011311
2019,1,13,4,12,301,13,20190113,2019011312
2019,1,13,4,13,302,13,20190113,2019011313
2019,1,13,4,14,303,13,20190113,2019011314
2019,1,13,4,15,304,13,20190113,2019011315
2019,1,13,4,16,305,13,20190113,2019011316
2019,1,13,4,17,306,13,20190113,2019011317
2019,1,13,4,18,307,13,20190113,2019011318
2019,1,13,4,19,308,13,20190113,2019011319
2019,1,13,4,20,309,13,20190113,2019011320
2019,1,13,4,21,310,13,20190113,2019011321
2019,1,13,4,22,311,13,20190113,2019011322
2019,1,13,4,23,312,13,20190113,2019011323
2019,1,14,5,0,313,14,20190114,2019011400
2019,1,14,5,1,314,14,20190114,2019011401
2019,1,14,5,2,315,14,20190114,2019011402
2019,1,14,5,3,316,14,20190114,2019011403
2019,1,14,5,4,317,14,20190114,2019011404
2019,1,14,5,5,318,14,20190114,2019011405
2019,1,14,5,6,319,14,20190114,2019011406
2019,1,14,5,7,320,14,20190114,2019011407
2019,1,14,5,8,321,14,20190114,2019011408
2019,1,14,5,9,322,14,20190114,2019011409
2019,1,14,5,10,323,14,20190114,2019011410
2019,1,14,5,11,324,14,20190114,2019011411
2019,1,14,5,12,325,14,20190114,2019011412
2019,1,14,5,13,326,14,20190114,2019011413
2019,1,14,5,14,327,14,20190114,2019011414
2019,1,14,5,15,328,14,20190114,2019011415
2019,1,14,5,16,329,14,20190114,2019011416
2019,1,14,5,17,330,14,20190114,2019011417
2019,1,14,5,18,331,14,20190114,2019011418
2019,1,14,5,19,332,14,20190114,2019011419
2019,1,14,5,20,333,14,20190114,2019011420
2019,1,14,5,21,334,14,20190114,2019011421
2019,1,14,5,22,335,14,20190114,2019011422
2019,1,14,5,23,336,14,20190114,2019011423
2019,1,15,6,0,337,15,20190115,2019011500
2019,1,15,6,1,338,15,20190115,2019011501
2019,1,15,6,2,339,15,20190115,2019011502
2019,1,15,6,3,340,15,20190115,2019011503
2019,1,15,6,4,341,15,20190115,2019011504
2019,1,15,6,5,342,15,20190115,2019011505
2019,1,15,6,6,343,15,20190115,2019011506
2019,1,15,6,7,344,15,20190115,2019011507
2019,1,15,6,8,345,15,20190115,2019011508
2019,1,15,6,9,346,15,20190115,2019011509
2019,1,15,6,10,347,15,20190115,2019011510
2019,1,15,6,11,348,15,20190115,2019011511
2019,1,15,6,12,349,15,20190115,2019011512
2019,1,15,6,13,350,15,20190115,2019011513
2019,1,15,6,14,351,15,20190115,2019011514
2019,1,15,6,15,352,15,20190115,2019011515
2019,1,15,6,16,353,15,20190115,2019011516
2019,1,15,6,17,354,15,20190115,2019011517
2019,1,15,6,18,355,15,20190115,2019011518
2019,1,15,6,19,356,15,20190115,2019011519
2019,1,15,6,20,357,15,20190115,2019011520
2019,1,15,6,21,358,15,20190115,2019011521
2019,1,15,6,22,359,15,20190115,2019011522
2019,1,15,6,23,360,15,20190115,2019011523
2019,1,16,7,0,361,16,20190116,2019011600
2019,1,16,7,1,362,16,20190116,2019011601
2019,1,16,7,2,363,16,20190116,2019011602
2019,1,16,7,3,364,16,20190116,2019011603
2019,1,16,7,4,365,16,20190116,2019011604
2019,1,16,7,5,366,16,20190116,2019011605
2019,1,16,7,6,367,16,20190116,2019011606
2019,1,16,7,7,368,16,20190116,2019011607
2019,1,16,7,8,369,16,20190116,2019011608
2019,1,16,7,9,370,16,20190116,2019011609
2019,1,16,7,10,371,16,20190116,2019011610
2019,1,16,7,11,372,16,20190116,2019011611
2019,1,16,7,12,373,16,20190116,2019011612
2019,1,16,7,13,374,16,20190116,2019011613
2019,1,16,7,14,375,16,20190116,2019011614
2019,1,16,7,15,376,16,20190116,2019011615
2019,1,16,7,16,377,16,20190116,2019011616
2019,1,16,7,17,378,16,20190116,2019011617
2019,1,16,7,18,379,16,20190116,2019011618
2019,1,16,7,19,380,16,20190116,2019011619
2019,1,16,7,20,381,16,20190116,2019011620
2019,1,16,7,21,382,16,20190116,2019011621
2019,1,16,7,22,383,16,20190116,2019011622
2019,1,16,7,23,384,16,20190116,2019011623
2019,1,17,1,0,385,17,20190117,2019011700
2019,1,17,1,1,386,17,20190117,2019011701
2019,1,17,1,2,387,17,20190117,2019011702
2019,1,17,1,3,388,17,20190117,2019011703
2019,1,17,1,4,389,17,20190117,2019011704
2019,1,17,1,5,390,17,20190117,2019011705
2019,1,17,1,6,391,17,20190117,2019011706
2019,1,17,1,7,392,17,20190117,2019011707
2019,1,17,1,8,393,17,20190117,2019011708
2019,1,17,1,9,394,17,20190117,2019011709
2019,1,17,1,10,395,17,20190117,2019011710
2019,1,17,1,11,396,17,20190117,2019011711
2019,1,17,1,12,397,17,20190117,2019011712
2019,1,17,1,13,398,17,20190117,2019011713
2019,1,17,1,14,399,17,20190117,2019011714
2019,1,17,1,15,400,17,20190117,2019011715
2019,1,17,1,16,401,17,20190117,2019011716
2019,1,17,1,17,402,17,20190117,2019011717
2019,1,17,1,18,403,17,20190117,2019011718
2019,1,17,1,19,404,17,20190117,2019011719
2019,1,17,1,20,405,17,20190117,2019011720
2019,1,17,1,21,406,17,20190117,2019011721
2019,1,17,1,22,407,17,20190117,2019011722
2019,1,17,1,23,408,17,20190117,2019011723
2019,1,18,2,0,409,18,20190118,2019011800
2019,1,18,2,1,410,18,20190118,2019011801
2019,1,18,2,2,411,18,20190118,2019011802
2019,1,18,2,3,412,18,20190118,2019011803
2019,1,18,2,4,413,18,20190118,2019011804
2019,1,18,2,5,414,18,20190118,2019011805
2019,1,18,2,6,415,18,20190118,2019011806
2019,1,18,2,7,416,18,20190118,2019011807
2019,1,18,2,8,417,18,20190118,2019011808
2019,1,18,2,9,418,18,20190118,2019011809
2019,1,18,2,10,419,18,20190118,2019011810
2019,1,18,2,11,420,18,20190118,2019011811
2019,1,18,2,12,421,18,20190118,2019011812
2019,1,18,2,13,422,18,20190118,2019011813
2019,1,18,2,14,423,18,20190118,2019011814
2019,1,18,2,15,424,18,20190118,2019011815
2019,1,18,2,16,425,18,20190118,2019011816
2019,1,18,2,17,426,18,20190118,2019011817
2019,1,18,2,18,427,18,20190118,2019011818
2019,1,18,2,19,428,18,20190118,2019011819
2019,1,18,2,20,429,18,20190118,2019011820
2019,1,18,2,21,430,18,20190118,2019011821
2019,1,18,2,22,431,18,20190118,2019011822
2019,1,18,2,23,432,18,20190118,2019011823
2019,1,19,3,0,433,19,20190119,2019011900
2019,1,19,3,1,434,19,20190119,2019011901
2019,1,19,3,2,435,19,20190119,2019011902
2019,1,19,3,3,436,19,20190119,2019011903
2019,1,19,3,4,437,19,20190119,2019011904
2019,1,19,3,5,438,19,20190119,2019011905
2019,1,19,3,6,439,19,20190119,2019011906
2019,1,19,3,7,440,19,20190119,2019011907
2019,1,19,3,8,441,19,20190119,2019011908
2019,1,19,3,9,442,19,20190119,2019011909
2019,1,19,3,10,443,19,20190119,2019011910
2019,1,19,3,11,444,19,20190119,2019011911
2019,1,19,3,12,445,19,20190119,2019011912
2019,1,19,3,13,446,19,20190119,2019011913
2019,1,19,3,14,447,19,20190119,2019011914
2019,1,19,3,15,448,19,20190119,2019011915
2019,1,19,3,16,449,19,20190119,2019011916
2019,1,19,3,17,450,19,20190119,2019011917
2019,1,19,3,18,451,19,20190119,2019011918
2019,1,19,3,19,452,19,20190119,2019011919
2019,1,19,3,20,453,19,20190119,2019011920
2019,1,19,3,21,454,19,20190119,2019011921
2019,1,19,3,22,455,19,20190119,2019011922
2019,1,19,3,23,456,19,20190119,2019011923
2019,1,20,4,0,457,20,20190120,2019012000
2019,1,20,4,1,458,20,20190120,2019012001
2019,1,20,4,2,459,20,20190120,2019012002
2019,1,20,4,3,460,20,20190120,2019012003
2019,1,20,4,4,461,20,20190120,2019012004
2019,1,20,4,5,462,20,20190120,2019012005
2019,1,20,4,6,463,20,20190120,2019012006
2019,1,20,4,7,464,20,20190120,2019012007
2019,1,20,4,8,465,20,20190120,2019012008
2019,1,20,4,9,466,20,20190120,2019012009
2019,1,20,4,10,467,20,20190120,2019012010
2019,1,20,4,11,468,20,20190120,2019012011
2019,1,20,4,12,469,20,20190120,2019012012
2019,1,20,4,13,470,20,20190120,2019012013
2019,1,20,4,14,471,20,20190120,2019012014
2019,1,20,4,15,472,20,20190120,2019012015
2019,1,20,4,16,473,20,20190120,2019012016
2019,1,20,4,17,474,20,20190120,2019012017
2019,1,20,4,18,475,20,20190120,2019012018
2019,1,20,4,19,476,20,20190120,2019012019
2019,1,20,4,20,477,20,20190120,2019012020
2019,1,20,4,21,478,20,20190120,2019012021
2019,1,20,4,22,479,20,20190120,2019012022
2019,1,20,4,23,480,20,20190120,2019012023
2019,1,21,5,0,481,21,20190121,2019012100
2019,1,21,5,1,482,21,20190121,2019012101
2019,1,21,5,2,483,21,20190121,2019012102
2019,1,21,5,3,484,21,20190121,2019012103
2019,1,21,5,4,485,21,20190121,2019012104
2019,1,21,5,5,486,21,20190121,2019012105
2019,1,21,5,6,487,21,20190121,2019012106
2019,1,21,5,7,488,21,20190121,2019012107
2019,1,21,5,8,489,21,20190121,2019012108
2019,1,21,5,9,490,21,20190121,2019012109
2019,1,21,5,10,491,21,20190121,2019012110
2019,1,21,5,11,492,21,20190121,2019012111
2019,1,21,5,12,493,21,20190121,2019012112
2019,1,21,5,13,494,21,20190121,2019012113
2019,1,21,5,14,495,21,20190121,2019012114
2019,1,21,5,15,496,21,20190121,2019012115
2019,1,21,5,16,497,21,20190121,2019012116
2019,1,21,5,17,498,21,20190121,2019012117
2019,1,21,5,18,499,21,20190121,2019012118
2019,1,21,5,19,500,21,20190121,2019012119
2019,1,21,5,20,501,21,20190121,2019012120
2019,1,21,5,21,502,21,20190121,2019012121
2019,1,21,5,22,503,21,20190121,2019012122
2019,1,21,5,23,504,21,20190121,2019012123
2019,1,22,6,0,505,22,20190122,2019012200
2019,1,22,6,1,506,22,20190122,2019012201
2019,1,22,6,2,507,22,20190122,2019012202
2019,1,22,6,3,508,22,20190122,2019012203
2019,1,22,6,4,509,22,20190122,2019012204
2019,1,22,6,5,510,22,20190122,2019012205
2019,1,22,6,6,511,22,20190122,2019012206
2019,1,22,6,7,512,22,20190122,2019012207
2019,1,22,6,8,513,22,20190122,2019012208
2019,1,22,6,9,514,22,20190122,2019012209
2019,1,22,6,10,515,22,20190122,2019012210
2019,1,22,6,11,516,22,20190122,2019012211
2019,1,22,6,12,517,22,20190122,2019012212
2019,1,22,6,13,518,22,20190122,2019012213
2019,1,22,6,14,519,22,20190122,2019012214
2019,1,22,6,15,520,22,20190122,2019012215
2019,1,22,6,16,521,22,20190122,2019012216
2019,1,22,6,17,522,22,20190122,2019012217
2019,1,22,6,18,523,22,20190122,2019012218
2019,1,22,6,19,524,22,20190122,2019012219
2019,1,22,6,20,525,22,20190122,2019012220
2019,1,22,6,21,526,22,20190122,2019012221
2019,1,22,6,22,527,22,20190122,2019012222
2019,1,22,6,23,528,22,20190122,2019012223
2019,1,23,7,0,529,23,20190123,2019012300
2019,1,23,7,1,530,23,20190123,2019012301
2019,1,23,7,2,531,23,20190123,2019012302
2019,1,23,7,3,532,23,20190123,2019012303
2019,1,23,7,4,533,23,20190123,2019012304
2019,1,23,7,5,534,23,20190123,2019012305
2019,1,23,7,6,535,23,20190123,2019012306
2019,1,23,7,7,536,23,20190123,2019012307
2019,1,23,7,8,537,23,20190123,2019012308
2019,1,23,7,9,538,23,20190123,2019012309
2019,1,23,7,10,539,23,20190123,2019012310
2019,1,23,7,11,540,23,20190123,2019012311
2019,1,23,7,12,541,23,20190123,2019012312
2019,1,23,7,13,542,23,20190123,2019012313
2019,1,23,7,14,543,23,20190123,2019012314
2019,1,23,7,15,544,23,20190123,2019012315
2019,1,23,7,16,545,23,20190123,2019012316
2019,1,23,7,17,546,23,20190123,2019012317
2019,1,23,7,18,547,23,20190123,2019012318
2019,1,23,7,19,548,23,20190123,2019012319
2019,1,23,7,20,549,23,20190123,2019012320
2019,1,23,7,21,550,23,20190123,2019012321
2019,1,23,7,22,551,23,20190123,2019012322
2019,1,23,7,23,552,23,20190123,2019012323
2019,1,24,1,0,553,24,20190124,2019012400
2019,1,24,1,1,554,24,20190124,2019012401
2019,1,24,1,2,555,24,20190124,2019012402
2019,1,24,1,3,556,24,20190124,2019012403
2019,1,24,1,4,557,24,20190124,2019012404
2019,1,24,1,5,558,24,20190124,2019012405
2019,1,24,1,6,559,24,20190124,2019012406
2019,1,24,1,7,560,24,20190124,2019012407
2019,1,24,1,8,561,24,20190124,2019012408
2019,1,24,1,9,562,24,20190124,2019012409
2019,1,24,1,10,563,24,20190124,2019012410
2019,1,24,1,11,564,24,20190124,2019012411
2019,1,24,1,12,565,24,20190124,2019012412
2019,1,24,1,13,566,24,20190124,2019012413
2019,1,24,1,14,567,24,20190124,2019012414
2019,1,24,1,15,568,24,20190124,2019012415
2019,1,24,1,16,569,24,20190124,2019012416
2019,1,24,1,17,570,24,20190124,2019012417
2019,1,24,1,18,571,24,20190124,2019012418
2019,1,24,1,19,572,24,20190124,2019012419
2019,1,24,1,20,573,24,20190124,2019012420
2019,1,24,1,21,574,24,20190124,2019012421
2019,1,24,1,22,575,24,20190124,2019012422
2019,1,24,1,23,576,24,20190124,2019012423
2019,1,25,2,0,577,25,20190125,2019012500
2019,1,25,2,1,578,25,20190125,2019012501
2019,1,25,2,2,579,25,20190125,2019012502
